Compared to the qos2+0, we see that all messages are received, 
in order, with no delays.
batch:msg=[002102:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002102:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002103:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002104:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002105:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002106:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002107:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:59:01 +0000
batch:msg=[002108:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002108:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002109:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002110:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002111:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:59:02 +0000
batch:msg=[002112:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:59:03 +0000
