Output from mosquitto_sub -t "#" -h test.server.ip

Things to note:
* local/dev-2,3,4,5,6,7,8,9,10,15 are almost never seen.
* despite publishing 15:1 more local than power messages, we see more like 1:3
* We see some very very old messages.  power/ messages were close enough to real
  time, local/ messages were slowly falling behind, with occasioanal very old
  packets coming through. (marked XX)
* every single qos0 packet is received, most of the qos2 packets are missing.
  (the batch number should increment by two for each power message)

batch:msg=[006223:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:47 +0000
batch:msg=[006225:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:47 +0000
batch:msg=[000392:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:10:08 +0000
batch:msg=[006227:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:48 +0000
batch:msg=[006229:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:48 +0000
batch:msg=[006231:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:49 +0000
batch:msg=[006233:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:50 +0000
XX batch:msg=[000404:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:10:10 +0000
batch:msg=[006235:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:50 +0000
batch:msg=[006237:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:51 +0000
batch:msg=[006239:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:51 +0000
batch:msg=[005518:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:30:15 +0000
batch:msg=[006241:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:52 +0000
batch:msg=[006243:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:53 +0000
batch:msg=[005524:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:30:17 +0000
batch:msg=[006245:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:53 +0000
batch:msg=[006247:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:54 +0000
batch:msg=[006249:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:55 +0000
batch:msg=[006251:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:55 +0000
batch:msg=[005530:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:30:19 +0000
batch:msg=[006253:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:56 +0000
batch:msg=[006255:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:56 +0000
XX batch:msg=[000438:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:10:16 +0000
batch:msg=[006257:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:57 +0000
batch:msg=[006259:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:58 +0000
batch:msg=[006261:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:58 +0000
batch:msg=[005542:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:30:22 +0000
batch:msg=[006263:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:59 +0000
batch:msg=[006265:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:34:00 +0000

