Notes: perfectly expected behaviour.
* messages are in order within the qos band, even if slightly shuffled compared
  to original publish order.  (totally correct behaviour)
* all messages are received!
* cpu usage stays low, and doesn't increase over time on either broker or client


batch:msg=[004933:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004932:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004935:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004934:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:37 +0000
