Notes: perfectly expected behaviour.
* messages are in order within the qos band, even if slightly shuffled compared
  to original publish order.  (totally correct behaviour)
* all messages are received!
* cpu usage stays low, and doesn't increase over time on either broker or client


batch:msg=[004958:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004961:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004960:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004963:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004962:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:41 +0000

