Again, no actual problems here, this is just for completeness.


# Overhead   Command           Shared Object                               Symbol
# ........  ........  ......................  ...................................
#
     0.31%  simplemq  libmosquitto.so.1       [.] _mosquitto_send_command_with_mid
     0.31%  simplemq  [kernel]                [k] skb_release_data
     0.31%  simplemq  [kernel]                [k] ip_output
     0.31%  simplemq  [kernel]                [k] __schedule
     0.29%  simplemq  libuClibc-0.9.33.2.so   [.] __stdio_fwrite
     0.29%  simplemq  libmosquitto.so.1       [.] mosquitto_loop_misc
     0.29%  simplemq  libmosquitto.so.1       [.] _mosquitto_send_real_publish
     0.29%  simplemq  [kernel]                [k] memcpy_toiovec
     0.28%  simplemq  libuClibc-0.9.33.2.so   [.] _time_tzset
     0.28%  simplemq  libuClibc-0.9.33.2.so   [.] _charpad
     0.28%  simplemq  libmosquitto.so.1       [.] _mosquitto_packet_handle
     0.28%  simplemq  [kernel]                [k] try_to_wake_up
     0.28%  simplemq  [kernel]                [k] __dentry_open.isra.15
     0.28%  simplemq  [kernel]                [k] link_path_walk
     0.28%  simplemq  [kernel]                [k] path_openat
     0.28%  simplemq  [kernel]                [k] __d_lookup_rcu
     0.28%  simplemq  [kernel]                [k] tcp_current_mss
     0.27%  simplemq  libmosquitto.so.1       [.] _mosquitto_net_read
     0.27%  simplemq  libmosquitto.so.1       [.] _mosquitto_handle_pubackcomp
     0.27%  simplemq  libmosquitto.so.1       [.] _mosquitto_send_publish
     0.27%  simplemq  [kernel]                [k] kmem_cache_free
     0.27%  simplemq  [kernel]                [k] get_empty_filp
     0.27%  simplemq  [kernel]                [k] ip_queue_xmit
     0.27%  simplemq  [kernel]                [k] tcp_data_queue
     0.27%  simplemq  [iptable_mangle]        [k] 0x28    
     0.25%  simplemq  libuClibc-0.9.33.2.so   [.] __libc_select
     0.25%  simplemq  [kernel]                [k] rw_verify_area
     0.25%  simplemq  [kernel]                [k] unlazy_walk
     0.25%  simplemq  [kernel]                [k] poll_freewait
     0.25%  simplemq  [kernel]                [k] poll_select_set_timeout
     0.25%  simplemq  [kernel]                [k] __copy_skb_header
     0.25%  simplemq  [kernel]                [k] ipv4_mtu
     0.24%  simplemq  [kernel]                [k] do_softirq
     0.24%  simplemq  [kernel]                [k] __hrtimer_start_range_ns
     0.24%  simplemq  [kernel]                [k] kmem_cache_alloc
     0.24%  simplemq  [kernel]                [k] netif_rx
     0.22%  simplemq  libmosquitto.so.1       [.] _mosquitto_net_write
     0.22%  simplemq  [kernel]                [k] skb_release_head_state
     0.22%  simplemq  [kernel]                [k] dev_queue_xmit
     0.22%  simplemq  [kernel]                [k] ip_local_deliver_finish
     0.21%  simplemq  simplemq                [.] send_messages
     0.21%  simplemq  libuClibc-0.9.33.2.so   [.] __GI_strlen
     0.21%  simplemq  libmosquitto.so.1       [.] _mosquitto_message_update
     0.21%  simplemq  [kernel]                [k] do_lookup
     0.21%  simplemq  [kernel]                [k] __lshrdi3
     0.21%  simplemq  [kernel]                [k] tcp_event_data_recv
     0.20%  simplemq  libmosquitto.so.1       [.] _mosquitto_send_pubrel

